iter	Passed	Remaining
0	1	156
1	2	130
2	3	121
3	4	113
4	5	109
5	7	111
6	8	111
7	9	110
8	10	108
9	12	108
10	13	107
11	14	106
12	15	105
13	17	104
14	18	104
15	19	103
16	20	102
17	22	100
18	23	99
19	24	98
20	25	96
21	27	95
22	28	94
23	29	93
24	30	92
25	31	90
26	32	88
27	33	87
28	35	85
29	36	84
30	37	82
31	38	81
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	44	72
38	45	71
39	46	70
40	48	69
41	48	67
42	49	65
43	50	64
44	51	63
45	52	62
46	53	60
47	54	59
48	55	58
49	56	56
50	58	55
51	59	54
52	60	53
53	63	53
54	63	52
55	65	51
56	66	49
57	67	48
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
